,Function,Number of points,Number of pieces (M),Error
0,np.abs(2*np.sin(8*x))*np.cos(16*x),100,5,0.8691439324029169
1,np.abs(2*np.sin(8*x))*np.cos(16*x),100,6,1.1395021176772735
2,np.abs(2*np.sin(8*x))*np.cos(16*x),100,10,0.42389093500767516
3,np.abs(2*np.sin(8*x))*np.cos(16*x),100,20,0.18819539270987623
4,np.abs(2*np.sin(8*x))*np.cos(16*x),100,50,0.0830401425629991
5,np.abs(2*np.sin(8*x))*np.cos(16*x),200,5,0.9097473432877994
6,np.abs(2*np.sin(8*x))*np.cos(16*x),200,6,1.196721603272258
7,np.abs(2*np.sin(8*x))*np.cos(16*x),200,10,0.5231623911408829
8,np.abs(2*np.sin(8*x))*np.cos(16*x),200,20,0.22978233502688789
9,np.abs(2*np.sin(8*x))*np.cos(16*x),200,50,0.0750660416168213
10,np.abs(2*np.sin(8*x))*np.cos(16*x),200,100,0.05215729710137833
11,np.abs(2*np.sin(8*x))*np.cos(16*x),1000,5,0.9424876173161332
12,np.abs(2*np.sin(8*x))*np.cos(16*x),1000,6,1.2446242801156897
13,np.abs(2*np.sin(8*x))*np.cos(16*x),1000,10,0.6098833823133005
14,np.abs(2*np.sin(8*x))*np.cos(16*x),1000,20,0.22905701255523814
15,np.abs(2*np.sin(8*x))*np.cos(16*x),1000,50,0.09433782477878656
16,np.abs(2*np.sin(8*x))*np.cos(16*x),1000,100,0.048911568214338556
17,np.abs(2*np.sin(8*x))*np.cos(16*x),1000,500,0.00791008839842839
18,np.abs(2*np.sin(8*x))*np.cos(16*x),5000,5,0.9490622467233847
19,np.abs(2*np.sin(8*x))*np.cos(16*x),5000,6,1.253348618791258
20,np.abs(2*np.sin(8*x))*np.cos(16*x),5000,10,0.6280447703013674
21,np.abs(2*np.sin(8*x))*np.cos(16*x),5000,20,0.23272806914631203
22,np.abs(2*np.sin(8*x))*np.cos(16*x),5000,50,0.09938719401863061
23,np.abs(2*np.sin(8*x))*np.cos(16*x),5000,100,0.05432446667580481
24,np.abs(2*np.sin(8*x))*np.cos(16*x),5000,500,0.008788045590242852
25,np.abs(2*np.sin(8*x))*np.cos(16*x),5000,1000,0.007751305138999354
26,np.abs(2*np.sin(8*x))*np.cos(16*x),2000,5,0.946596005329998
27,np.abs(2*np.sin(8*x))*np.cos(16*x),2000,6,1.2498381314658793
28,np.abs(2*np.sin(8*x))*np.cos(16*x),2000,10,0.6212040254436917
29,np.abs(2*np.sin(8*x))*np.cos(16*x),2000,20,0.230485797684183
30,np.abs(2*np.sin(8*x))*np.cos(16*x),2000,50,0.09832109457702387
31,np.abs(2*np.sin(8*x))*np.cos(16*x),2000,100,0.052635142125335266
32,np.abs(2*np.sin(8*x))*np.cos(16*x),2000,500,0.006970375711039329
33,np.abs(2*np.sin(8*x))*np.cos(16*x),2000,1000,0.004506402271749101
34,np.abs(2*np.sin(8*x))*np.cos(16*x),8000,5,0.9496789737835354
35,np.abs(2*np.sin(8*x))*np.cos(16*x),8000,6,1.2542255623460894
36,np.abs(2*np.sin(8*x))*np.cos(16*x),8000,10,0.6297605236237895
37,np.abs(2*np.sin(8*x))*np.cos(16*x),8000,20,0.232551033502908
38,np.abs(2*np.sin(8*x))*np.cos(16*x),8000,50,0.0996585849223705
39,np.abs(2*np.sin(8*x))*np.cos(16*x),8000,100,0.05402051219426647
40,np.abs(2*np.sin(8*x))*np.cos(16*x),8000,500,0.009199728542168113
41,np.abs(2*np.sin(8*x))*np.cos(16*x),8000,1000,0.006266651780049787
42,np.abs(2*np.sin(8*x))*np.cos(16*x),5000,5,0.9490622467233847
43,np.abs(2*np.sin(8*x))*np.cos(16*x),5000,6,1.253348618791258
44,np.abs(2*np.sin(8*x))*np.cos(16*x),5000,10,0.6280447703013674
45,np.abs(2*np.sin(8*x))*np.cos(16*x),5000,20,0.23272806914631203
46,np.abs(2*np.sin(8*x))*np.cos(16*x),5000,50,0.09938719401863061
47,np.abs(2*np.sin(8*x))*np.cos(16*x),5000,100,0.05432446667580481
48,np.abs(2*np.sin(8*x))*np.cos(16*x),5000,500,0.008788045590242852
49,np.abs(2*np.sin(8*x))*np.cos(16*x),5000,1000,0.007751305138999354
50,np.abs(2*np.sin(8*x))*np.cos(16*x),10000,5,0.9498845245695053
51,np.abs(2*np.sin(8*x))*np.cos(16*x),10000,6,1.2545865601170727
52,np.abs(2*np.sin(8*x))*np.cos(16*x),10000,10,0.6303330628789554
53,np.abs(2*np.sin(8*x))*np.cos(16*x),10000,20,0.23272916685878955
54,np.abs(2*np.sin(8*x))*np.cos(16*x),10000,50,0.10045514485966699
55,np.abs(2*np.sin(8*x))*np.cos(16*x),10000,100,0.05432150141354196
56,np.abs(2*np.sin(8*x))*np.cos(16*x),10000,500,0.009694763992890763
57,np.abs(2*np.sin(8*x))*np.cos(16*x),10000,1000,0.009543531957076246
58,np.abs(2*np.sin(8*x))*np.cos(16*x),10000,5000,36.6354771872662
59,10*np.exp(x)*np.ln(x)/np.lg(x+10),100,5,0.16771764116179355
60,10*np.exp(x)*np.ln(x)/np.lg(x+10),100,6,0.12579339009308654
61,10*np.exp(x)*np.ln(x)/np.lg(x+10),100,10,0.04428285516888053
62,10*np.exp(x)*np.ln(x)/np.lg(x+10),100,20,0.01170249926196476
63,10*np.exp(x)*np.ln(x)/np.lg(x+10),100,50,0.0017841939489073866
64,10*np.exp(x)*np.ln(x)/np.lg(x+10),200,5,0.17815905402783017
65,10*np.exp(x)*np.ln(x)/np.lg(x+10),200,6,0.128793201263683
66,10*np.exp(x)*np.ln(x)/np.lg(x+10),200,10,0.04610252168954787
67,10*np.exp(x)*np.ln(x)/np.lg(x+10),200,20,0.011852471805021025
68,10*np.exp(x)*np.ln(x)/np.lg(x+10),200,50,0.0019562549313931754
69,10*np.exp(x)*np.ln(x)/np.lg(x+10),200,100,0.0004523488373706641
70,10*np.exp(x)*np.ln(x)/np.lg(x+10),1000,5,0.19451918853437178
71,10*np.exp(x)*np.ln(x)/np.lg(x+10),1000,6,0.13608133342630424
72,10*np.exp(x)*np.ln(x)/np.lg(x+10),1000,10,0.048788460565994285
73,10*np.exp(x)*np.ln(x)/np.lg(x+10),1000,20,0.012314388653805963
74,10*np.exp(x)*np.ln(x)/np.lg(x+10),1000,50,0.0020127608973581346
75,10*np.exp(x)*np.ln(x)/np.lg(x+10),1000,100,0.0005135537335547724
76,10*np.exp(x)*np.ln(x)/np.lg(x+10),1000,500,0.008803227324538199
77,10*np.exp(x)*np.ln(x)/np.lg(x+10),5000,5,0.19790394221126206
78,10*np.exp(x)*np.ln(x)/np.lg(x+10),5000,6,0.13876448016835496
79,10*np.exp(x)*np.ln(x)/np.lg(x+10),5000,10,0.05050365838046389
80,10*np.exp(x)*np.ln(x)/np.lg(x+10),5000,20,0.012669041175158213
81,10*np.exp(x)*np.ln(x)/np.lg(x+10),5000,50,0.002037544876650088
82,10*np.exp(x)*np.ln(x)/np.lg(x+10),5000,100,0.0005121552652198602
83,10*np.exp(x)*np.ln(x)/np.lg(x+10),5000,500,0.019544091506979555
84,10*np.exp(x)*np.ln(x)/np.lg(x+10),5000,1000,0.6175880981039867
85,10*np.exp(x)*np.ln(x)/np.lg(x+10),2000,5,0.19663021465304809
86,10*np.exp(x)*np.ln(x)/np.lg(x+10),2000,6,0.13812135987210183
87,10*np.exp(x)*np.ln(x)/np.lg(x+10),2000,10,0.049855987639084276
88,10*np.exp(x)*np.ln(x)/np.lg(x+10),2000,20,0.012380998160253398
89,10*np.exp(x)*np.ln(x)/np.lg(x+10),2000,50,0.0020212223697839704
90,10*np.exp(x)*np.ln(x)/np.lg(x+10),2000,100,0.0005133670701482629
91,10*np.exp(x)*np.ln(x)/np.lg(x+10),2000,500,0.008616834050386046
92,10*np.exp(x)*np.ln(x)/np.lg(x+10),2000,1000,0.3872362788287056
93,10*np.exp(x)*np.ln(x)/np.lg(x+10),8000,5,0.19822320901859314
94,10*np.exp(x)*np.ln(x)/np.lg(x+10),8000,6,0.1389256828430021
95,10*np.exp(x)*np.ln(x)/np.lg(x+10),8000,10,0.05066641735610489
96,10*np.exp(x)*np.ln(x)/np.lg(x+10),8000,20,0.012750916529697065
97,10*np.exp(x)*np.ln(x)/np.lg(x+10),8000,50,0.0020414409720572735
98,10*np.exp(x)*np.ln(x)/np.lg(x+10),8000,100,0.0005135372690929785
99,10*np.exp(x)*np.ln(x)/np.lg(x+10),8000,500,0.012387687052637375
100,10*np.exp(x)*np.ln(x)/np.lg(x+10),8000,1000,0.5295491291480552
101,10*np.exp(x)*np.ln(x)/np.lg(x+10),5000,5,0.19790394221126206
102,10*np.exp(x)*np.ln(x)/np.lg(x+10),5000,6,0.13876448016835496
103,10*np.exp(x)*np.ln(x)/np.lg(x+10),5000,10,0.05050365838046389
104,10*np.exp(x)*np.ln(x)/np.lg(x+10),5000,20,0.012669041175158213
105,10*np.exp(x)*np.ln(x)/np.lg(x+10),5000,50,0.002037544876650088
106,10*np.exp(x)*np.ln(x)/np.lg(x+10),5000,100,0.0005121552652198602
107,10*np.exp(x)*np.ln(x)/np.lg(x+10),5000,500,0.019544091506979555
108,10*np.exp(x)*np.ln(x)/np.lg(x+10),5000,1000,0.6175880981039867
109,10*np.exp(x)*np.ln(x)/np.lg(x+10),10000,5,0.19832970556407048
110,10*np.exp(x)*np.ln(x)/np.lg(x+10),10000,6,0.13888117944421907
111,10*np.exp(x)*np.ln(x)/np.lg(x+10),10000,10,0.0507207452117413
112,10*np.exp(x)*np.ln(x)/np.lg(x+10),10000,20,0.012778283989817396
113,10*np.exp(x)*np.ln(x)/np.lg(x+10),10000,50,0.0020427079622891142
114,10*np.exp(x)*np.ln(x)/np.lg(x+10),10000,100,0.0005138192020552879
115,10*np.exp(x)*np.ln(x)/np.lg(x+10),10000,500,0.019733689230875484
116,10*np.exp(x)*np.ln(x)/np.lg(x+10),10000,1000,0.9039289796387848
117,10*np.exp(x)*np.ln(x)/np.lg(x+10),10000,5000,3524.0066280613514
